title,author,label
"Nitish Kumar exits as Bihar Chief Minister, marks end of an era. After two decades in power and multiple coalition shifts, Nitish Kumar steps down, paving the way for the Bharatiya Janata Party to have its own Chief Minister in Bihar",The Hindu,0
"T.N. Assembly election: BJP manifesto is ‘fake’, says Congress leader Girish Chodankar",The Hindu,0
Nara Lokesh to inaugurate NTR cricket stadium in Tirupati’s Gollavanigunta on April 15. IT and HRD Minister Nara Lokesh will inaugurate the NTR cricket stadium at Gollavanigunta in Tirupati on April 15 as SAAP pushes sports infrastructure across the district,The Hindu,0
"How Bihar has voted since 2000: Infographics. Bihar’s political journey since 2000- elections, party shifts, alliances, and how voters shaped the State’s power structure.",The Hindu,0
"Nitish Kumar’s political journey: From rebellion to longest-serving CM. Nitish Kumar has navigated the complex political terrain of Bihar, marked by strategic alliances and governance initiatives aimed at promoting inclusivity and development",The Hindu,0
"Gurugram STF arrests Deepak Nandal gang shooter after encounter. Previously, the STF arrested three shooters from Bahadurgarh, and the Gurugram police arrested one",The Hindu,0
"Acute drinking water shortage hits Kozhikode’s hilly regions. The situation is particularly severe in areas such as Thiruvambady and Koodaranji, where many natural water sources have dried up",The Hindu,0
Bihar Chief Minister Nitish Kumar takes oath as Rajya Sabha member. The oath was administered by Rajya Sabha chairman C.P. Radhakrishnan in his chamber at a brief ceremony,The Hindu,0
"Assembly Elections 2026 LIVE updates: Will resolve Gorkha issue in constitutional manner without dividing Bengal, says Amit Shah. Addressing a poll rally in Gangarampur, Amit Shah also promised that the supply of potatoes from West Bengal to other States will be opened up to ensure that the farmers get remunerative prices",The Hindu,0
"The burden of the new Bihar Chief Minister. In order to make a mark, the new government must tackle migration head-on",The Hindu,0
"U.S., Iran may meet again in Islamabad for second round of talks by next week: Report. The contacts are ongoing for the revival of stalled negotiations between the U.S. and Iran, and talks may be held again before the end of the two-week ceasefire on April 21, says reports citing highly placed sources",The Hindu,0
R&B Minister inspects ongoing works in his Constituency,The Hindu,0
House owner arrested for stabbing tenant over rent dispute in Chennai,The Hindu,0
"Parkinson’s disease: recognising symptoms early is key to prompt diagnosis and treatment. Early medical evaluation allows for tailored medication, targeted exercise, and lifestyle changes that may slow functional decline and help maintain a higher quality of life",The Hindu,0
"Nitish Kumar resigns as Bihar CM. For the first time, the BJP is going to have a CM in Bihar",The Hindu,0
A question of less: weight loss drugs,The Hindu,0
"122 sovereigns of gold stolen from Sattur DMK candidate’s house. ₹45,000 in cash was also stolen, besides 800 g of silver",The Hindu,0
"Israel-Iran war LIVE: France, U.K. to co-host Hormuz shipping security talks. Pakistan proposes new U.S.-Iran talks as Vance and Trump hint at progress",The Hindu,0
"MSME Minister Kondapalli Srinivas pays tribute to Ambedkar on 135th birth anniversary in Vizianagaram. MSME Minister Kondapalli Srinnivas, MLA Pusapati Aditi Vijayalakshmi and others paid floral tributes to B.R. Ambedkar on his 135th birth anniversary in Vizianagaram",The Hindu,0
"CBI raids 77 locations in builder-financial institution nexus cases. Operations result in seizure of incriminating documents, digital devices and other materials, says the Central probe agency",The Hindu,0
"The fourth trimester: why we need to focus on postpartum care. Postpartum care in India has gaps that need filling. Follow-up visits tend to focus on physical recovery, wound healing or contraception. Medical professionals, in general, do not address emotional well-being unless the mother brings it up first. This needs to change",The Hindu,0
"Woman security guard duped of ₹52,500 in fake IPL ticket scam in Bengaluru. The complainant was assigned duty at the M. Chinnaswamy Stadium on March 28, during an IPL match",The Hindu,0
"Nitish Kumar resigns; Samrat Choudhary set to become next Bihar CM | LIVE. Nitish Kumar, who has been Chief Minister for the past 21 years, tendered his resignation, which was accepted by Lt. Gen. (Retd.) Governor Syed Ata Hasnain; Deputy CM Samrat Choudhary has been elected as the BJP's Legislature Party leader",The Hindu,0
"Anime music icon Hiroshi Kitadani of ‘One Piece’ fame set to perform at Mumbai Comic Con in May. Kitadani is widely known for performing “We Are!”, the iconic opening theme of ‘One Piece’, a track that has become closely associated with the long-running anime franchise",The Hindu,0
"Here’s what can be served at official events in Karnataka. Karnataka issues ‘nutrition advisory’ for official events, bans fried snacks, milk tea, coffee",The Hindu,0
"Tamil Nadu election 2026: Mango farmers reiterate demand for pulp-making factory in K.V. Kuppam constituency. K.V. Kuppam Assembly constituency’s dependence on agriculture is due to lack of industrial units and factories which can generate jobs for the unemployed educated youth in the region, many of whom are forced migrate to big cities like Chennai, Bengaluru, and Coimbatore in search of employment.",The Hindu,0
"Golden Jackal pup rescued near Bengaluru, given anti-biotics for neurological symptoms. The jackal was reported to be immobile at the time of the rescue. Upon clinical examination at the hospital, veterinarians observed neurological symptoms, including muscle twitching, tremors and temporal twitching",The Hindu,0
"T.N. election: J.P. Nadda releases BJP manifesto, says DMK rule has turned State into crime capital. Terming the “DMK a Dynasty, Money, and Kickbacks party,” he claimed that DMK president and Chief Minister M.K. Stalin was “not only corrupt, but also a protector of the corrupt”",The Hindu,0
"CM condemns Nithin Raj’s death as public sentiment galvanises against management of Anjarakandy dental college. CM Pinarayi Vijayan said the Central government has turned a deaf ear to the demand to enact the Rohith Vemula (Prevention of Discrimination, Exclusion or Injustice) (Right to Education and Dignity) Bill",The Hindu,0
Samrat Choudhary set to become new Bihar CM. BJP elects Deputy CM Samrat Choudhary as its Legislature Party leader after the resignation of Nitish Kumar,The Hindu,0
"Projects worth ₹165 crore to be launched in Mangaluru on April 18, says MLC Ivan D’Souza. Various projects to be taken up in 60 wards of the city under the scheme include road development work",The Hindu,0
"Automobile wholesales in India clock record 2.83 crore units in FY26: SIAM. In 2024-25, total domestic vehicle sales stood at 2,56,09,399 units, Society of Indian Automobile Manufacturers (SIAM) said",The Hindu,0
Telangana sizzles as temperatures cross 43°C; all 33 districts record above 41°C. Aloor in Nizamabad is hottest in Telangana as it records 43.2°C. Maximum temperature in Hyderabad is 41°C.,The Hindu,0
"School shooting in Turkiye leaves 16 wounded. The assailant, a 19-year-old former student, later took his own life as ⁠police attempted to apprehend him",The Hindu,0
"T.N. election: Even as parties promise host of schemes, farmers worried about future of agriculture. Despite political promises, younger generations show little interest in agriculture’s future, say several farmers",The Hindu,0
Telangana | Heatwave alert for multiple parts from April 14 to 18,The Hindu,0
Kurnool police shift two ganja addicts to rehabilitation centre. The police decided to bring about a change among the ganja addicted youngsters instead of taking legal action keeping in view their future,The Hindu,0
"OpenAI CEO's California home hit by Molotov cocktail, man arrested. Police in San Francisco, a hub for tech development, said they had responded after reports that someone had tried to set fire to a gate at the sprawling home",The Hindu,0
'Stop hiring humans'? Silicon Valley confronts AI job panic. The anxiety is well-founded. More and more companies are directly citing AI in announcing job cuts,The Hindu,0
"OpenAI identifies security issue involving third-party tool, says user data was not accessed. OpenAI said on Friday it had identified a security ​issue involving a third-party developer tool called Axios",The Hindu,0
"CM Stalin issues ‘final warning’ to PM Modi; vows massive agitation over delimitation. In a strongly-worded video message, Tamil Nadu Chief Minister M.K. Stalin has issued what he calls a “final warning” to the BJP-led Union Government regarding the proposed Constitutional amendment on delimitation.",The Hindu,0
"China says policy to improve relations with India remains unchanged. China has been publishing its names for various regions in Arunachal Pradesh since 2017 for which India has been consistently objecting, saying that “fictitious names"" to Indian territory cannot alter ""undeniable reality""",The Hindu,0
"Congress confident of winning all 13 seats in Kozhikode. Citing strong UDF support and historical victory margins, the Congress expresses confidence in winning all 13 Kozhikode seats",The Hindu,0
"Overspeeding, inattention causing fatal road accidents in Vizianagaram, says SP. Vizianagaram SP A.R. Damodar said lack of attention and overspeeding are causing fatal accidents and called for public cooperation to improve road safety",The Hindu,0
Ambedkar’s ideals form foundation of our people-centric governance: Telangana CM Revanth Reddy,The Hindu,0
"Kerala electorate has voted for ‘change of government’, says Shafi Parambil. The Vadakara MP says that the ruling CPI(M) will not be able to “compartmentalise” this popular verdict as the “consolidation of votes” by members of a particular caste, religion, or community",The Hindu,0
"Noida workers’ protest: Over 300 held, seven FIRs registered; ‘syndicate’ angle under probe, says police. “Route marches have been conducted continuously since 5 a.m. This morning, workers gathered at three locations; following immediate dialogue, they were peacefully dispersed within just 15 minutes,” Gautam Buddh Nagar Police Commissioner Laxmi Singh said",The Hindu,0
"Logical discrepancy not recognised term under ECI framework, applied only in Bengal: Mamata. Addressing a public rally at Pingla in Paschim Medinipur district, she said she has not seen a ""dirty party"" like the BJP",The Hindu,0
"Indian democracy will be stronger, vibrant if women quota implemented in 2029: PM Modi. In a letter to the women of the country, Mr. Modi also said that with women excelling in several fields, it is only fitting that there is an increase in the participation of women in legislative bodies",The Hindu,0
"‘Will not remain silent’: T.N. CM Stalin warns of massive protest against delimitation. “Tamil Nadu will come to a standstill. It will register its protest vehemently. Every family will come out to the streets. We will organise a big protest under my leadership,” he said in a video message",The Hindu,0
"Bihar political history timeline: 1990 to 2026. Nitish Kumar, the Chief Minister of Bihar and the longest-serving leader in the State’s history, is set to resign today, on April 14, 2026, after a remarkable 20-year tenure",The Hindu,0
